Polynomial Kernel
Value: 0, K: 0, C:0.001, PCA 6: minDCF: 0.3411065573770492
Value: 0, K: 0, C:0.001, PCA 8: minDCF: 0.35397540983606557
Value: 0, K: 0, C:0.001, PCA None: minDCF: 0.34237704918032785
Value: 0, K: 0, C:0.01, PCA 6: minDCF: 0.3423565573770492
Value: 0, K: 0, C:0.01, PCA 8: minDCF: 0.34928278688524594
Value: 0, K: 0, C:0.01, PCA None: minDCF: 0.3489344262295082
Value: 0, K: 0, C:0.1, PCA 6: minDCF: 0.33704918032786885
Value: 0, K: 0, C:0.1, PCA 8: minDCF: 0.34866803278688524
Value: 0, K: 0, C:0.1, PCA None: minDCF: 0.35362704918032783
Value: 0, K: 1, C:0.001, PCA 6: minDCF: 0.3423565573770492
Value: 0, K: 1, C:0.001, PCA 8: minDCF: 0.35397540983606557
Value: 0, K: 1, C:0.001, PCA None: minDCF: 0.34237704918032785
Value: 0, K: 1, C:0.01, PCA 6: minDCF: 0.3423565573770492
Value: 0, K: 1, C:0.01, PCA 8: minDCF: 0.3517827868852459
Value: 0, K: 1, C:0.01, PCA None: minDCF: 0.3520696721311476
Value: 0, K: 1, C:0.1, PCA 6: minDCF: 0.33987704918032785
Value: 0, K: 1, C:0.1, PCA 8: minDCF: 0.3658401639344262
Value: 0, K: 1, C:0.1, PCA None: minDCF: 0.35737704918032787
Value: 1, K: 0, C:0.001, PCA 6: minDCF: 0.30520491803278693
Value: 1, K: 0, C:0.001, PCA 8: minDCF: 0.32706967213114757
Value: 1, K: 0, C:0.001, PCA None: minDCF: 0.3367418032786885
Value: 1, K: 0, C:0.01, PCA 6: minDCF: 0.29053278688524586
Value: 1, K: 0, C:0.01, PCA 8: minDCF: 0.3280327868852459
Value: 1, K: 0, C:0.01, PCA None: minDCF: 0.3367418032786885
Value: 1, K: 0, C:0.1, PCA 6: minDCF: 0.30424180327868855
Value: 1, K: 0, C:0.1, PCA 8: minDCF: 0.33549180327868855
Value: 1, K: 0, C:0.1, PCA None: minDCF: 0.3317622950819672
Value: 1, K: 1, C:0.001, PCA 6: minDCF: 0.30520491803278693
Value: 1, K: 1, C:0.001, PCA 8: minDCF: 0.32706967213114757
Value: 1, K: 1, C:0.001, PCA None: minDCF: 0.3367418032786885
Value: 1, K: 1, C:0.01, PCA 6: minDCF: 0.2917827868852459
Value: 1, K: 1, C:0.01, PCA 8: minDCF: 0.3292827868852459
Value: 1, K: 1, C:0.01, PCA None: minDCF: 0.3367418032786885
Value: 1, K: 1, C:0.1, PCA 6: minDCF: 0.3039344262295082
Value: 1, K: 1, C:0.1, PCA 8: minDCF: 0.33454918032786884
Value: 1, K: 1, C:0.1, PCA None: minDCF: 0.3327049180327869
RBF
Value: 0.01, K: 0, C:0.001, PCA 6: minDCF: 0.44325819672131145
Value: 0.01, K: 0, C:0.001, PCA 8: minDCF: 0.46077868852459014
Value: 0.01, K: 0, C:0.001, PCA None: minDCF: 0.5022745901639345
Value: 0.01, K: 0, C:0.01, PCA 6: minDCF: 0.44325819672131145
Value: 0.01, K: 0, C:0.01, PCA 8: minDCF: 0.46077868852459014
Value: 0.01, K: 0, C:0.01, PCA None: minDCF: 0.5022745901639345
Value: 0.01, K: 0, C:0.1, PCA 6: minDCF: 0.3267418032786885
